category,main_prompt
black and white close-up portrait,"Make an epic black and white close-up portrait of the uploaded pic with wet hair and water droplets on my face and shoulders. Strong dramatic lighting, sharp facial features, glossy lips, piercing eyes, and realistic skin texture. High contrast, studio shot, hyper-realistic, cinematic look, 4K detail using this picture."
stunning portrait of a woman,"Make a 4K HD, realistic, and stunning portrait using this image. Show long, dark, wavy hair cascading over shoulders. Attire – a translucent, elegant black saree draped over one shoulder, revealing a fitted blouse underneath. White flowers are tucked behind her right ear. She is looking slightly to her right, with a soft, serene expression. The background is a plain, warm-toned wall, illuminated by a warm light source from the right, creating a distinct, soft-edged shadow of her profile and hair on the wall behind her. The overall mood is retro and artistic."
Paris Travel,"Create an ultra-realistic night-time portrait from this photo, standing near the Arc de Triomphe at Place Charles de Gaulle in Paris. Background: The Arc de Triomphe is fully visible and brightly illuminated in the center of the frame, with deep shadows and warm street lights glowing softly in the background. The classic ‘Place Charles de Gaulle’ street sign is clearly visible on the ornate lamppost to the right side of the subject. Lighting & Color: Maintain the warm, ambient nighttime lighting with subtle yellow-orange glows from the streetlights. Capture the same soft shadows and realistic noise/grain present in the original image. Apply similar color grading – warm highlights, deep shadows, and slightly muted tones to evoke a cinematic, moody feel. Pose & Angle: The subject is facing left, head tilted upward at a ~45-degree angle, with eyes closed and a serene, introspective expression. The camera angle is slightly low and tilted upward, capturing the chest-up view in a three-quarter profile from the left side. The pose must be relaxed, with hands in jacket pockets, shoulders naturally slouched, conveying a quiet, reflective mood. Outfit: Dress the subject in a black leather jacket layered over a red textured sweater, with the lower portion of blue jeans slightly visible. Keep the outfit textures and folds consistent with real fabric physics under the lighting conditions."
Pyramids of Giza,"Place me next to the Pyramids of Giza, with desert sand and camels nearby, blending naturally into the historic scene."
Statue of Liberty,"Show me standing near the Statue of Liberty, with the New York skyline in the background and bright daylight for realism."
Taj Mahal at sunrise,"Insert me into the gardens in front of the Taj Mahal at sunrise, with the monument reflecting in the water."
Great Wall of China,"Place me walking along the Great Wall of China, with the winding wall stretching into the mountains behind me."
Eiffel Tower,"Put me in front of the Eiffel Tower on a sunny afternoon, dressed casually, with tourists and city life around me."
top of the Hollywood Sign,"Take this photo of me put me sitting on top of the Hollywood Sign, waving at the city below.. Make it look realistic, with accurate lighting, shadows, and perspective so it feels like I’m actually there. Keep the landmark clear and recognizable and match the overall atmosphere of the location."
reimagined in the 90s,"Reimagine me in the 90s, dressed in grunge or sitcom fashion, standing in a Blockbuster video store."
80s character with big hair,"Make me look like an 80s character, with big hair, neon clothes, and a retro mall arcade in the background."
1970s disco look,"Turn me into a 1970s disco look, complete with bell-bottoms, platform shoes, and colorful light patterns."
